"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","LeBron James",10700,"NY@CLE 10/29/2017 07:00PM ET",52.000,"CLE"
"SF/PF","Kevin Durant",9800,"DET@GS 10/29/2017 08:30PM ET",50.458,"GS"
"PG","John Wall",9700,"WAS@SAC 10/29/2017 06:00PM ET",45.300,"WAS"
"PG/SG","Stephen Curry",9100,"DET@GS 10/29/2017 08:30PM ET",46.125,"GS"
"PF/C","Nikola Jokic",8900,"DEN@BKN 10/29/2017 06:00PM ET",36.400,"DEN"
"PF/C","Kristaps Porzingis",8500,"NY@CLE 10/29/2017 07:00PM ET",41.188,"NY"
"PG","Kemba Walker",7900,"ORL@CHA 10/29/2017 06:00PM ET",36.950,"CHA"
"C","Dwight Howard",7700,"ORL@CHA 10/29/2017 06:00PM ET",41.350,"CHA"
"PG","D'Angelo Russell",7500,"DEN@BKN 10/29/2017 06:00PM ET",35.500,"BKN"
"PF/C","Draymond Green",7400,"DET@GS 10/29/2017 08:30PM ET",33.000,"GS"
"PF/C","Kevin Love",7300,"NY@CLE 10/29/2017 07:00PM ET",37.458,"CLE"
"SG","Bradley Beal",7300,"WAS@SAC 10/29/2017 06:00PM ET",35.200,"WAS"
"C","Nikola Vucevic",7200,"ORL@CHA 10/29/2017 06:00PM ET",42.550,"ORL"
"C","Andre Drummond",7100,"DET@GS 10/29/2017 08:30PM ET",40.292,"DET"
"SF/PF","Otto Porter",7100,"WAS@SAC 10/29/2017 06:00PM ET",41.300,"WAS"
"SF/PF","Aaron Gordon",7100,"ORL@CHA 10/29/2017 06:00PM ET",42.583,"ORL"
"PF/C","Paul Millsap",7000,"DEN@BKN 10/29/2017 06:00PM ET",26.100,"DEN"
"PG","Elfrid Payton",6900,"ORL@CHA 10/29/2017 06:00PM ET",24.500,"ORL"
"SG","Klay Thompson",6800,"DET@GS 10/29/2017 08:30PM ET",35.000,"GS"
"SG/SF","Evan Fournier",6700,"ORL@CHA 10/29/2017 06:00PM ET",38.200,"ORL"
"PG","Isaiah Thomas",6600,"NY@CLE 10/29/2017 07:00PM ET",0,"CLE"
"SF/PF","Tobias Harris",6500,"DET@GS 10/29/2017 08:30PM ET",32.000,"DET"
"SG/SF","Jeremy Lamb",6300,"ORL@CHA 10/29/2017 06:00PM ET",28.250,"CHA"
"PF/C","Enes Kanter",6100,"NY@CLE 10/29/2017 07:00PM ET",30.250,"NY"
"SG/SF","Will Barton",6000,"DEN@BKN 10/29/2017 06:00PM ET",30.000,"DEN"
"C","Marcin Gortat",5900,"WAS@SAC 10/29/2017 06:00PM ET",31.650,"WAS"
"PG","De'Aaron Fox",5800,"WAS@SAC 10/29/2017 06:00PM ET",28.900,"SAC"
"PG","Reggie Jackson",5700,"DET@GS 10/29/2017 08:30PM ET",31.917,"DET"
"SG","Gary Harris",5600,"DEN@BKN 10/29/2017 06:00PM ET",24.250,"DEN"
"PG/SG","D.J. Augustin",5500,"ORL@CHA 10/29/2017 06:00PM ET",26.200,"ORL"
"PF/C","Willie Cauley-Stein",5400,"WAS@SAC 10/29/2017 06:00PM ET",26.450,"SAC"
"SG/SF","Kelly Oubre Jr.",5400,"WAS@SAC 10/29/2017 06:00PM ET",26.600,"WAS"
"SF/PF","DeMarre Carroll",5300,"DEN@BKN 10/29/2017 06:00PM ET",29.167,"BKN"
"PG/SG","Dwyane Wade",5200,"NY@CLE 10/29/2017 07:00PM ET",17.750,"CLE"
"PF/C","Zach Randolph",5200,"WAS@SAC 10/29/2017 06:00PM ET",22.000,"SAC"
"PG/SG","Avery Bradley",5100,"DET@GS 10/29/2017 08:30PM ET",23.958,"DET"
"SF/PF","Rondae Hollis-Jefferson",5100,"DEN@BKN 10/29/2017 06:00PM ET",25.292,"BKN"
"PG/SG","Jamal Murray",5000,"DEN@BKN 10/29/2017 06:00PM ET",16.450,"DEN"
"PG","Derrick Rose",5000,"NY@CLE 10/29/2017 07:00PM ET",20.500,"CLE"
"SF/PF","Markieff Morris",5000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"PF/C","Frank Kaminsky",5000,"ORL@CHA 10/29/2017 06:00PM ET",24.350,"CHA"
"PF/C","Trevor Booker",4900,"DEN@BKN 10/29/2017 06:00PM ET",25.625,"BKN"
"PG/SF","Caris LeVert",4900,"DEN@BKN 10/29/2017 06:00PM ET",23.792,"BKN"
"SG/SF","Tim Hardaway Jr.",4900,"NY@CLE 10/29/2017 07:00PM ET",14.188,"NY"
"SF/PF","Wilson Chandler",4800,"DEN@BKN 10/29/2017 06:00PM ET",17.600,"DEN"
"PG/SG","Spencer Dinwiddie",4700,"DEN@BKN 10/29/2017 06:00PM ET",23.167,"BKN"
"SG/SF","Buddy Hield",4700,"WAS@SAC 10/29/2017 06:00PM ET",22.350,"SAC"
"SF/PF","Jae Crowder",4600,"NY@CLE 10/29/2017 07:00PM ET",15.417,"CLE"
"PG/SG","George Hill",4500,"WAS@SAC 10/29/2017 06:00PM ET",18.500,"SAC"
"PG","Emmanuel Mudiay",4400,"DEN@BKN 10/29/2017 06:00PM ET",18.700,"DEN"
"SG/SF","Allen Crabbe",4400,"DEN@BKN 10/29/2017 06:00PM ET",19.792,"BKN"
"PF/C","Skal Labissiere",4400,"WAS@SAC 10/29/2017 06:00PM ET",22.900,"SAC"
"SF/PF","Jeff Green",4300,"NY@CLE 10/29/2017 07:00PM ET",16.792,"CLE"
"PF/C","Kyle O'Quinn",4300,"NY@CLE 10/29/2017 07:00PM ET",21.188,"NY"
"SG/SF","Bogdan Bogdanovic",4200,"WAS@SAC 10/29/2017 06:00PM ET",20.375,"SAC"
"PF/C","Tristan Thompson",4100,"NY@CLE 10/29/2017 07:00PM ET",15.833,"CLE"
"SG/SF","Courtney Lee",4100,"NY@CLE 10/29/2017 07:00PM ET",17.938,"NY"
"PG","Jarrett Jack",4100,"NY@CLE 10/29/2017 07:00PM ET",17.875,"NY"
"SG/SF","Terrence Ross",4100,"ORL@CHA 10/29/2017 06:00PM ET",17.850,"ORL"
"SG/SF","Andre Iguodala",4000,"DET@GS 10/29/2017 08:30PM ET",16.400,"GS"
"PG","Ramon Sessions",4000,"NY@CLE 10/29/2017 07:00PM ET",20.000,"NY"
"C","Joakim Noah",4000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"SG/SF","Jonathon Simmons",4000,"ORL@CHA 10/29/2017 06:00PM ET",19.800,"ORL"
"SF","Michael Kidd-Gilchrist",4000,"ORL@CHA 10/29/2017 06:00PM ET",10.125,"CHA"
"C","Cody Zeller",4000,"ORL@CHA 10/29/2017 06:00PM ET",20.250,"CHA"
"SG/SF","Nicolas Batum",4000,"ORL@CHA 10/29/2017 06:00PM ET",0,"CHA"
"PG","Ish Smith",3900,"DET@GS 10/29/2017 08:30PM ET",16.875,"DET"
"SG/SF","Stanley Johnson",3900,"DET@GS 10/29/2017 08:30PM ET",17.167,"DET"
"SG/SF","J.R. Smith",3900,"NY@CLE 10/29/2017 07:00PM ET",12.333,"CLE"
"PF/C","Guillermo Hernangomez",3900,"NY@CLE 10/29/2017 07:00PM ET",11.583,"NY"
"SF/PF","Juancho Hernangomez",3800,"DEN@BKN 10/29/2017 06:00PM ET",0.000,"DEN"
"PF/C","Mason Plumlee",3800,"DEN@BKN 10/29/2017 06:00PM ET",18.250,"DEN"
"PG/SG","Iman Shumpert",3800,"NY@CLE 10/29/2017 07:00PM ET",11.792,"CLE"
"SF/PF","Marvin Williams",3800,"ORL@CHA 10/29/2017 06:00PM ET",11.850,"CHA"
"PG/SG","Malik Monk",3800,"ORL@CHA 10/29/2017 06:00PM ET",13.250,"CHA"
"SG/SF","Kyle Korver",3700,"NY@CLE 10/29/2017 07:00PM ET",15.708,"CLE"
"PG/SG","Garrett Temple",3700,"WAS@SAC 10/29/2017 06:00PM ET",19.900,"SAC"
"PG","Tim Frazier",3700,"WAS@SAC 10/29/2017 06:00PM ET",12.500,"WAS"
"PF/C","Jason Smith",3700,"WAS@SAC 10/29/2017 06:00PM ET",3.625,"WAS"
"PF/C","Bismack Biyombo",3700,"ORL@CHA 10/29/2017 06:00PM ET",13.900,"ORL"
"PG/SG","Shaun Livingston",3600,"DET@GS 10/29/2017 08:30PM ET",10.400,"GS"
"SF/PF","Michael Beasley",3600,"NY@CLE 10/29/2017 07:00PM ET",8.813,"NY"
"C","Kosta Koufos",3600,"WAS@SAC 10/29/2017 06:00PM ET",17.250,"SAC"
"SG","Nick Young",3500,"DET@GS 10/29/2017 08:30PM ET",11.750,"GS"
"PF/C","Kenneth Faried",3500,"DEN@BKN 10/29/2017 06:00PM ET",10.700,"DEN"
"SF/PF","Doug McDermott",3500,"NY@CLE 10/29/2017 07:00PM ET",16.188,"NY"
"C","Ian Mahinmi",3500,"WAS@SAC 10/29/2017 06:00PM ET",10.700,"WAS"
"PG","Shelvin Mack",3500,"ORL@CHA 10/29/2017 06:00PM ET",13.875,"ORL"
"C","Boban Marjanovic",3400,"DET@GS 10/29/2017 08:30PM ET",4.000,"DET"
"PG/SG","Sean Kilpatrick",3400,"DEN@BKN 10/29/2017 06:00PM ET",8.500,"BKN"
"PG/SG","Frank Ntilikina",3400,"NY@CLE 10/29/2017 07:00PM ET",10.500,"NY"
"SF/PF","Jonathan Isaac",3400,"ORL@CHA 10/29/2017 06:00PM ET",15.900,"ORL"
"PF/C","Jon Leuer",3300,"DET@GS 10/29/2017 08:30PM ET",12.250,"DET"
"C","Zaza Pachulia",3300,"DET@GS 10/29/2017 08:30PM ET",13.250,"GS"
"PF/C","Jarrett Allen",3300,"DEN@BKN 10/29/2017 06:00PM ET",12.700,"BKN"
"SG","Jodie Meeks",3300,"WAS@SAC 10/29/2017 06:00PM ET",14.600,"WAS"
"PF/C","David West",3200,"DET@GS 10/29/2017 08:30PM ET",16.208,"GS"
"SG/SF","Joe Harris",3200,"DEN@BKN 10/29/2017 06:00PM ET",13.050,"BKN"
"PG","Michael Carter-Williams",3200,"ORL@CHA 10/29/2017 06:00PM ET",0,"CHA"
"SF/PF","Omri Casspi",3100,"DET@GS 10/29/2017 08:30PM ET",6.833,"GS"
"C","Timofey Mozgov",3100,"DEN@BKN 10/29/2017 06:00PM ET",11.250,"BKN"
"PF/C","Channing Frye",3100,"NY@CLE 10/29/2017 07:00PM ET",6.950,"CLE"
"PG/SG","Ron Baker",3100,"NY@CLE 10/29/2017 07:00PM ET",12.000,"NY"
"PF","Mike Scott",3100,"WAS@SAC 10/29/2017 06:00PM ET",12.800,"WAS"
"SG","Mario Hezonja",3100,"ORL@CHA 10/29/2017 06:00PM ET",11.313,"ORL"
"SG","Luke Kennard",3000,"DET@GS 10/29/2017 08:30PM ET",8.938,"DET"
"PF/C","Henry Ellenson",3000,"DET@GS 10/29/2017 08:30PM ET",12.875,"DET"
"PF/C","Eric Moreland",3000,"DET@GS 10/29/2017 08:30PM ET",2.500,"DET"
"SF/PF","Anthony Tolliver",3000,"DET@GS 10/29/2017 08:30PM ET",17.000,"DET"
"PG/SG","Langston Galloway",3000,"DET@GS 10/29/2017 08:30PM ET",15.400,"DET"
"SG/SF","Reggie Bullock",3000,"DET@GS 10/29/2017 08:30PM ET",2.250,"DET"
"SF","Luis Montero",3000,"DET@GS 10/29/2017 08:30PM ET",0,"DET"
"PG","Dwight Buycks",3000,"DET@GS 10/29/2017 08:30PM ET",0,"DET"
"PF/C","Jordan Bell",3000,"DET@GS 10/29/2017 08:30PM ET",10.150,"GS"
"SG/SF","Patrick McCaw",3000,"DET@GS 10/29/2017 08:30PM ET",7.000,"GS"
"C","JaVale McGee",3000,"DET@GS 10/29/2017 08:30PM ET",9.500,"GS"
"SF/PF","Kevon Looney",3000,"DET@GS 10/29/2017 08:30PM ET",11.375,"GS"
"C","Damian Jones",3000,"DET@GS 10/29/2017 08:30PM ET",0,"GS"
"PF","Chris Boucher",3000,"DET@GS 10/29/2017 08:30PM ET",0,"GS"
"PG","Quinn Cook",3000,"DET@GS 10/29/2017 08:30PM ET",2.000,"GS"
"PF","Darrell Arthur",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"PG","Monte Morris",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"SG/SF","Torrey Craig",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"SF/PF","Trey Lyles",3000,"DEN@BKN 10/29/2017 06:00PM ET",3.083,"DEN"
"PG","Malik Beasley",3000,"DEN@BKN 10/29/2017 06:00PM ET",5.300,"DEN"
"SF/PF","Richard Jefferson",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"PF","Tyler Lydon",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"DEN"
"PG/SG","Isaiah Whitehead",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"BKN"
"C","Tyler Zeller",3000,"DEN@BKN 10/29/2017 06:00PM ET",7.500,"BKN"
"SG","Yakuba Ouattara",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"BKN"
"PG","Jacob Wiley",3000,"DEN@BKN 10/29/2017 06:00PM ET",0,"BKN"
"PG/SG","Jeremy Lin",3000,"DEN@BKN 10/29/2017 06:00PM ET",23.000,"BKN"
"PF/C","Quincy Acy",3000,"DEN@BKN 10/29/2017 06:00PM ET",11.083,"BKN"
"PG","London Perrantes",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"CLE"
"SG/SF","John Holland",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"CLE"
"PG","Jose Calderon",3000,"NY@CLE 10/29/2017 07:00PM ET",3.750,"CLE"
"PF/C","Ante Zizic",3000,"NY@CLE 10/29/2017 07:00PM ET",9.000,"CLE"
"SG/SF","Cedi Osman",3000,"NY@CLE 10/29/2017 07:00PM ET",3.083,"CLE"
"SG","Damyean Dotson",3000,"NY@CLE 10/29/2017 07:00PM ET",0.833,"NY"
"SF","Mindaugas Kuzminskas",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"SF/PF","Lance Thomas",3000,"NY@CLE 10/29/2017 07:00PM ET",3.167,"NY"
"PF","Luke Kornet",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"PF","Isaiah Hicks",3000,"NY@CLE 10/29/2017 07:00PM ET",0,"NY"
"SG/SF","Malachi Richardson",3000,"WAS@SAC 10/29/2017 06:00PM ET",5.875,"SAC"
"PF/C","Harry Giles",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"SAC"
"C","Georgios Papagiannis",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"SAC"
"SF/PF","Jakarr Sampson",3000,"WAS@SAC 10/29/2017 06:00PM ET",3.250,"SAC"
"PG/SG","Frank Mason III",3000,"WAS@SAC 10/29/2017 06:00PM ET",11.000,"SAC"
"SG/SF","Justin Jackson",3000,"WAS@SAC 10/29/2017 06:00PM ET",8.350,"SAC"
"PF","Jack Cooley",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"SAC"
"SG/SF","Vince Carter",3000,"WAS@SAC 10/29/2017 06:00PM ET",6.100,"SAC"
"PF","Mike Young",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"SG","Sheldon Mac",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
