"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SG/SF","Carrick Felix",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"PF/C","Chris McCullough",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"PG/SG","Tomas Satoransky",3000,"WAS@SAC 10/29/2017 06:00PM ET",3.875,"WAS"
"SG","Devin Robinson",3000,"WAS@SAC 10/29/2017 06:00PM ET",0,"WAS"
"SG/SF","Wes Iwundu",3000,"ORL@CHA 10/29/2017 06:00PM ET",5.250,"ORL"
"SG/SF","Arron Afflalo",3000,"ORL@CHA 10/29/2017 06:00PM ET",4.333,"ORL"
"PF","Adreian Payne",3000,"ORL@CHA 10/29/2017 06:00PM ET",0,"ORL"
"SG/SF","Jamel Artis",3000,"ORL@CHA 10/29/2017 06:00PM ET",0,"ORL"
"PF/C","Marreese Speights",3000,"ORL@CHA 10/29/2017 06:00PM ET",8.000,"ORL"
"PF","Khem Birch",3000,"ORL@CHA 10/29/2017 06:00PM ET",6.000,"ORL"
"SG/SF","Dwayne Bacon",3000,"ORL@CHA 10/29/2017 06:00PM ET",14.050,"CHA"
"PF/C","Johnny O'Bryant III",3000,"ORL@CHA 10/29/2017 06:00PM ET",14.813,"CHA"
"PG/SG","Julyan Stone",3000,"ORL@CHA 10/29/2017 06:00PM ET",9.625,"CHA"
"SG/SF","Treveon Graham",3000,"ORL@CHA 10/29/2017 06:00PM ET",9.500,"CHA"
"PF/C","Mangok Mathiang",3000,"ORL@CHA 10/29/2017 06:00PM ET",2.500,"CHA"
"PG","Marcus Paige",3000,"ORL@CHA 10/29/2017 06:00PM ET",2.500,"CHA"
