"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Richard Jefferson",3000,"DEN@CHA 10/25/2017 07:00PM ET",0,"DEN"
"PG","Malik Beasley",3000,"DEN@CHA 10/25/2017 07:00PM ET",3.500,"DEN"
"PF/C","Mangok Mathiang",3000,"DEN@CHA 10/25/2017 07:00PM ET",0,"CHA"
"PG/SG","Julyan Stone",3000,"DEN@CHA 10/25/2017 07:00PM ET",9.625,"CHA"
"PF/C","Johnny O'Bryant III",3000,"DEN@CHA 10/25/2017 07:00PM ET",19.750,"CHA"
"SG/SF","Treveon Graham",3000,"DEN@CHA 10/25/2017 07:00PM ET",11.417,"CHA"
"PG","Marcus Paige",3000,"DEN@CHA 10/25/2017 07:00PM ET",0,"CHA"
"PF/C","Zhou Qi",3000,"HOU@PHI 10/25/2017 07:00PM ET",5.250,"HOU"
"PG","Briante Weber",3000,"HOU@PHI 10/25/2017 07:00PM ET",0,"HOU"
"SG","Troy Williams",3000,"HOU@PHI 10/25/2017 07:00PM ET",3.250,"HOU"
"PF/C","Chinanu Onuaku",3000,"HOU@PHI 10/25/2017 07:00PM ET",0,"HOU"
"PG","Demetrius Jackson",3000,"HOU@PHI 10/25/2017 07:00PM ET",7.833,"HOU"
"PF","James Michael McAdoo",3000,"HOU@PHI 10/25/2017 07:00PM ET",0,"PHI"
"SF/PF","Justin Anderson",3000,"HOU@PHI 10/25/2017 07:00PM ET",7.875,"PHI"
