"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"SF/PF","Thaddeus Young",5600,"IND@OKC 10/25/2017 08:00PM ET",30.167,"IND"
"PF/C","Kelly Olynyk",5600,"SA@MIA 10/25/2017 08:00PM ET",30.667,"MIA"
"C","Marcin Gortat",5500,"WAS@LAL 10/25/2017 10:30PM ET",30.917,"WAS"
"PF/C","Serge Ibaka",5400,"TOR@GS 10/25/2017 10:30PM ET",24.250,"TOR"
"SG/SF","Josh Richardson",5400,"SA@MIA 10/25/2017 08:00PM ET",28.500,"MIA"
"SG/SF","Joe Ingles",5300,"UTA@PHO 10/25/2017 10:00PM ET",30.750,"UTA"
"SG/SF","Brandon Ingram",5200,"WAS@LAL 10/25/2017 10:30PM ET",24.083,"LAL"
"PG/SG","Dwyane Wade",5200,"CLE@BKN 10/25/2017 07:30PM ET",14.000,"CLE"
"SF/PF","DeMarre Carroll",5200,"CLE@BKN 10/25/2017 07:30PM ET",30.833,"BKN"
"SF/PF","Harrison Barnes",5200,"MEM@DAL 10/25/2017 08:30PM ET",27.813,"DAL"
"SG/SF","Rodney Hood",5100,"UTA@PHO 10/25/2017 10:00PM ET",19.625,"UTA"
"PG/SF","Caris LeVert",5100,"CLE@BKN 10/25/2017 07:30PM ET",25.917,"BKN"
"SG/SF","Dion Waiters",5100,"SA@MIA 10/25/2017 08:00PM ET",23.750,"MIA"
"PG/SG","Avery Bradley",5000,"MIN@DET 10/25/2017 07:00PM ET",20.625,"DET"
"SF/PF","Markieff Morris",5000,"WAS@LAL 10/25/2017 10:30PM ET",0,"WAS"
"PF/C","Derrick Favors",5000,"UTA@PHO 10/25/2017 10:00PM ET",23.917,"UTA"
"C","Jonas Valanciunas",5000,"TOR@GS 10/25/2017 10:30PM ET",29.875,"TOR"
"SF/PF","Rondae Hollis-Jefferson",5000,"CLE@BKN 10/25/2017 07:30PM ET",25.417,"BKN"
"SG","Gary Harris",5000,"DEN@CHA 10/25/2017 07:00PM ET",21.833,"DEN"
"SF/PF","Wilson Chandler",5000,"DEN@CHA 10/25/2017 07:00PM ET",20.333,"DEN"
