PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PF/C,DeMarcus Cousins (9719722),DeMarcus Cousins,9719722,PF,11600,ORL@NO 10/30/2017 08:00PM ET,NO,
,,,,,,,,,PG/SG,James Harden (9719238),James Harden,9719238,PG,11200,PHI@HOU 10/30/2017 08:00PM ET,HOU,
,,,,,,,,,PF/C,Anthony Davis (9719726),Anthony Davis,9719726,PF,11000,ORL@NO 10/30/2017 08:00PM ET,NO,
,,,,,,,,,SF/PF,Kevin Durant (9719606),Kevin Durant,9719606,SF,9800,GS@LAC 10/30/2017 10:30PM ET,GS,
,,,,,,,,,PF/C,Blake Griffin (9719666),Blake Griffin,9719666,PF,9300,GS@LAC 10/30/2017 10:30PM ET,LAC,
,,,,,,,,,PG/SF,Ben Simmons (9719294),Ben Simmons,9719294,PG,9200,PHI@HOU 10/30/2017 08:00PM ET,PHI,
,,,,,,,,,PG/SG,Stephen Curry (9719610),Stephen Curry,9719610,PG,9100,GS@LAC 10/30/2017 10:30PM ET,GS,
,,,,,,,,,C,Karl-Anthony Towns (9719552),Karl-Anthony Towns,9719552,C,9000,MIN@MIA 10/30/2017 07:30PM ET,MIN,
,,,,,,,,,PF/C,Nikola Jokic (9719108),Nikola Jokic,9719108,PF,8900,DEN@NY 10/30/2017 07:30PM ET,DEN,
,,,,,,,,,PG,Damian Lillard (9718989),Damian Lillard,9718989,PG,8700,TOR@POR 10/30/2017 10:00PM ET,POR,
,,,,,,,,,PF/C,LaMarcus Aldridge (9718796),LaMarcus Aldridge,9718796,PF,8500,SA@BOS 10/30/2017 07:30PM ET,SA,
,,,,,,,,,PF/C,Kristaps Porzingis (9719172),Kristaps Porzingis,9719172,PF,8400,DEN@NY 10/30/2017 07:30PM ET,NY,
,,,,,,,,,PF/C,Joel Embiid (9719299),Joel Embiid,9719299,PF,8100,PHI@HOU 10/30/2017 08:00PM ET,PHI,
,,,,,,,,,PG,Kyrie Irving (9718736),Kyrie Irving,9718736,PG,8000,SA@BOS 10/30/2017 07:30PM ET,BOS,
,,,,,,,,,SF/PF,Kawhi Leonard (9718800),Kawhi Leonard,9718800,SF,8000,SA@BOS 10/30/2017 07:30PM ET,SA,
,,,,,,,,,SG/SF,DeMar DeRozan (9719051),DeMar DeRozan,9719051,SG,7900,TOR@POR 10/30/2017 10:00PM ET,TOR,
,,,,,,,,,C,Hassan Whiteside (9719488),Hassan Whiteside,9719488,C,7900,MIN@MIA 10/30/2017 07:30PM ET,MIA,
,,,,,,,,,C,Marc Gasol (9719362),Marc Gasol,9719362,C,7800,CHA@MEM 10/30/2017 08:00PM ET,MEM,
,,,,,,,,,PG/SG,Chris Paul (9719242),Chris Paul,9719242,PG,7700,PHI@HOU 10/30/2017 08:00PM ET,HOU,
,,,,,,,,,PG,Kemba Walker (9719428),Kemba Walker,9719428,PG,7700,CHA@MEM 10/30/2017 08:00PM ET,CHA,
,,,,,,,,,PG,Kyle Lowry (9719056),Kyle Lowry,9719056,PG,7600,TOR@POR 10/30/2017 10:00PM ET,TOR,
,,,,,,,,,C,Dwight Howard (9719431),Dwight Howard,9719431,C,7600,CHA@MEM 10/30/2017 08:00PM ET,CHA,
,,,,,,,,,C,Rudy Gobert (9718923),Rudy Gobert,9718923,C,7500,DAL@UTA 10/30/2017 09:00PM ET,UTA,
,,,,,,,,,SF/PF,Aaron Gordon (9719787),Aaron Gordon,9719787,SF,7500,ORL@NO 10/30/2017 08:00PM ET,ORL,
,,,,,,,,,PG/SG,C.J. McCollum (9718992),C.J. McCollum,9718992,PG,7400,TOR@POR 10/30/2017 10:00PM ET,POR,
,,,,,,,,,PG,Ricky Rubio (9718925),Ricky Rubio,9718925,PG,7300,DAL@UTA 10/30/2017 09:00PM ET,UTA,
,,,,,,,,,PF/C,Draymond Green (9719614),Draymond Green,9719614,PF,7300,GS@LAC 10/30/2017 10:30PM ET,GS,
,,,,,,,,,C,DeAndre Jordan (9719670),DeAndre Jordan,9719670,C,7300,GS@LAC 10/30/2017 10:30PM ET,LAC,
,,,,,,,,,SG,Jimmy Butler (9719558),Jimmy Butler,9719558,SG,7200,MIN@MIA 10/30/2017 07:30PM ET,MIN,
,,,,,,,,,C,Nikola Vucevic (9719785),Nikola Vucevic,9719785,C,7200,ORL@NO 10/30/2017 08:00PM ET,ORL,
,,,,,,,,,PG,Mike Conley (9719364),Mike Conley,9719364,PG,7100,CHA@MEM 10/30/2017 08:00PM ET,MEM,
,,,,,,,,,PG/SG,Jrue Holiday (9719730),Jrue Holiday,9719730,PG,7100,ORL@NO 10/30/2017 08:00PM ET,NO,
,,,,,,,,,PF/C,Paul Millsap (9719112),Paul Millsap,9719112,PF,7000,DEN@NY 10/30/2017 07:30PM ET,DEN,
,,,,,,,,,SG/SF,Evan Fournier (9719794),Evan Fournier,9719794,SG,7000,ORL@NO 10/30/2017 08:00PM ET,ORL,
,,,,,,,,,PF/C,Al Horford (9718739),Al Horford,9718739,PF,6900,SA@BOS 10/30/2017 07:30PM ET,BOS,
,,,,,,,,,PG,Elfrid Payton (9719791),Elfrid Payton,9719791,PG,6900,ORL@NO 10/30/2017 08:00PM ET,ORL,
,,,,,,,,,SF/PF,Andrew Wiggins (9719554),Andrew Wiggins,9719554,SF,6800,MIN@MIA 10/30/2017 07:30PM ET,MIN,
,,,,,,,,,SG,Klay Thompson (9719618),Klay Thompson,9719618,SG,6800,GS@LAC 10/30/2017 10:30PM ET,GS,
,,,,,,,,,SG,Eric Gordon (9719246),Eric Gordon,9719246,SG,6700,PHI@HOU 10/30/2017 08:00PM ET,HOU,
,,,,,,,,,C,Clint Capela (9719249),Clint Capela,9719249,C,6700,PHI@HOU 10/30/2017 08:00PM ET,HOU,
,,,,,,,,,PF,James Johnson (9719493),James Johnson,9719493,PF,6600,MIN@MIA 10/30/2017 07:30PM ET,MIA,
,,,,,,,,,PG,Goran Dragic (9719490),Goran Dragic,9719490,PG,6500,MIN@MIA 10/30/2017 07:30PM ET,MIA,
,,,,,,,,,C,Jusuf Nurkic (9718996),Jusuf Nurkic,9718996,C,6400,TOR@POR 10/30/2017 10:00PM ET,POR,
,,,,,,,,,SG/SF,Will Barton (9719116),Will Barton,9719116,SG,6200,DEN@NY 10/30/2017 07:30PM ET,DEN,
,,,,,,,,,SG/SF,Jeremy Lamb (9719433),Jeremy Lamb,9719433,SG,6100,CHA@MEM 10/30/2017 08:00PM ET,CHA,
,,,,,,,,,PF/C,Enes Kanter (9719176),Enes Kanter,9719176,PF,6000,DEN@NY 10/30/2017 07:30PM ET,NY,
,,,,,,,,,SF/PF,Robert Covington (9719303),Robert Covington,9719303,SF,6000,PHI@HOU 10/30/2017 08:00PM ET,PHI,
,,,,,,,,,PG,Jeff Teague (9719561),Jeff Teague,9719561,PG,6000,MIN@MIA 10/30/2017 07:30PM ET,MIN,
,,,,,,,,,SF,Danilo Gallinari (9719672),Danilo Gallinari,9719672,SF,5900,GS@LAC 10/30/2017 10:30PM ET,LAC,
,,,,,,,,,PG/SG,Patrick Beverley (9719675),Patrick Beverley,9719675,PG,5900,GS@LAC 10/30/2017 10:30PM ET,LAC,
,,,,,,,,,SF/PF,Jayson Tatum (9718748),Jayson Tatum,9718748,SF,5800,SA@BOS 10/30/2017 07:30PM ET,BOS,
,,,,,,,,,PG/SG,Dennis Smith Jr. (9718863),Dennis Smith Jr.,9718863,PG,5800,DAL@UTA 10/30/2017 09:00PM ET,DAL,
,,,,,,,,,SG/SF,Jaylen Brown (9718743),Jaylen Brown,9718743,SG,5700,SA@BOS 10/30/2017 07:30PM ET,BOS,
,,,,,,,,,SG,Gary Harris (9719121),Gary Harris,9719121,SG,5600,DEN@NY 10/30/2017 07:30PM ET,DEN,
,,,,,,,,,PG,Dejounte Murray (9718804),Dejounte Murray,9718804,PG,5500,SA@BOS 10/30/2017 07:30PM ET,SA,
,,,,,,,,,PF/C,Kelly Olynyk (9719501),Kelly Olynyk,9719501,PF,5500,MIN@MIA 10/30/2017 07:30PM ET,MIA,
,,,,,,,,,PG/SG,D.J. Augustin (9719799),D.J. Augustin,9719799,PG,5500,ORL@NO 10/30/2017 08:00PM ET,ORL,
,,,,,,,,,SF/PF,Rudy Gay (9718807),Rudy Gay,9718807,SF,5400,SA@BOS 10/30/2017 07:30PM ET,SA,
,,,,,,,,,SG/SF,Dion Waiters (9719496),Dion Waiters,9719496,SG,5400,MIN@MIA 10/30/2017 07:30PM ET,MIA,
,,,,,,,,,PG,Rajon Rondo (9719734),Rajon Rondo,9719734,PG,5400,ORL@NO 10/30/2017 08:00PM ET,NO,
,,,,,,,,,SG/SF,Marcus Smart (9718752),Marcus Smart,9718752,SG,5300,SA@BOS 10/30/2017 07:30PM ET,BOS,
,,,,,,,,,SF/PF,Harrison Barnes (9718867),Harrison Barnes,9718867,SF,5300,DAL@UTA 10/30/2017 09:00PM ET,DAL,
,,,,,,,,,SG/SF,Rodney Hood (9718928),Rodney Hood,9718928,SG,5300,DAL@UTA 10/30/2017 09:00PM ET,UTA,
,,,,,,,,,SF/PF,Al-Farouq Aminu (9718998),Al-Farouq Aminu,9718998,SF,5300,TOR@POR 10/30/2017 10:00PM ET,POR,
,,,,,,,,,PF/C,Serge Ibaka (9719063),Serge Ibaka,9719063,PF,5300,TOR@POR 10/30/2017 10:00PM ET,TOR,
,,,,,,,,,SG/SF,Danny Green (9718811),Danny Green,9718811,SG,5200,SA@BOS 10/30/2017 07:30PM ET,SA,
,,,,,,,,,PF/C,Pau Gasol (9718816),Pau Gasol,9718816,PF,5200,SA@BOS 10/30/2017 07:30PM ET,SA,
,,,,,,,,,SG/SF,Joe Ingles (9718937),Joe Ingles,9718937,SG,5200,DAL@UTA 10/30/2017 09:00PM ET,UTA,
,,,,,,,,,PF/C,Jakob Poeltl (9719059),Jakob Poeltl,9719059,PF,5200,TOR@POR 10/30/2017 10:00PM ET,TOR,
,,,,,,,,,PF/C,Derrick Favors (9718933),Derrick Favors,9718933,PF,5100,DAL@UTA 10/30/2017 09:00PM ET,UTA,
,,,,,,,,,PF/C,Ryan Anderson (9719251),Ryan Anderson,9719251,PF,5100,PHI@HOU 10/30/2017 08:00PM ET,HOU,
,,,,,,,,,SG/SF,Josh Richardson (9719505),Josh Richardson,9719505,SG,5100,MIN@MIA 10/30/2017 07:30PM ET,MIA,
,,,,,,,,,PG/SG,Lou Williams (9719679),Lou Williams,9719679,PG,5100,GS@LAC 10/30/2017 10:30PM ET,LAC,
,,,,,,,,,PG/SG,Jamal Murray (9719124),Jamal Murray,9719124,PG,5000,DEN@NY 10/30/2017 07:30PM ET,DEN,
