player	matchup	datetime	fp	cost	value	min	pts	reb	ast	stl	blk	to
Russell Westbrook PG	IND  @  OKC	Wed 8:00pm	63.1	11,400	5.54	34.29	31.6	10.3	9.7	1.7	0.3	5.1
James Harden PG/SG	HOU  @  PHI	Wed 7:00pm	59.6	11,600	5.14	35.89	28.6	8	11.0	1.7	0.3	5.1
LeBron James SF/PF	CLE  @  BKN	Wed 7:30pm	53.9	10,400	5.18	36.84	26.5	7.9	9.6	1.6	0.5	4.3
Kevin Durant SF/PF	TOR  @  GS	Wed 10:30pm	48.9	9,500	5.14	33.83	26.4	8.4	4.7	1.0	1.5	2.3
John Wall PG	WSH  @  LAL	Wed 10:30pm	48.9	10,200	4.79	34.91	22.5	4.6	10.2	2.0	0.6	3.8
Stephen Curry PG/SG	TOR  @  GS	Wed 10:30pm	48.6	8,700	5.59	35.93	27.4	5	6.8	1.9	0.3	3.6
Karl-Anthony Towns C	MIN  @  DET	Wed 7:00pm	46.7	8,600	5.43	36.90	24.1	11.7	2.2	0.7	1.2	2.6
Joel Embiid PF/C	HOU  @  PHI	Wed 7:00pm	45.2	8,000	5.65	33.62	21.8	11	2.6	1.2	1.8	3.7
Kyle Lowry PG	TOR  @  GS	Wed 10:30pm	45.2	7,700	5.86	37.19	21.7	5.2	8.2	2.2	0.3	2.7
Chris Paul PG/SG	HOU  @  PHI OUT	Wed 7:00pm	44.9	8,000	5.62	32.85	24.1	4.9	7.2	1.7	0.2	3.4
Kemba Walker PG	DEN  @  CHA	Wed 7:00pm	44.9	7,700	5.83	37.72	26.4	3.9	5.9	1.5	0.5	2.1
Kevin Love PF/C	CLE  @  BKN	Wed 7:30pm	43.8	7,600	5.76	33.85	20.6	10.9	3.5	1.2	0.7	2.4
Paul George SF	IND  @  OKC	Wed 8:00pm	42.4	8,000	5.3	35.39	25.4	6.3	3.9	1.5	0.4	3.5
Andre Drummond C	MIN  @  DET	Wed 7:00pm	40.1	7,900	5.07	30.13	15.0	14.3	1.1	1.4	1.1	1.9
Kawhi Leonard SF/PF	SA  @  MIA OUT	Wed 8:00pm	39.7	8,100	4.9	33.28	23.1	5.7	3.5	1.4	0.6	2.1
DeMar DeRozan SG/SF	TOR  @  GS	Wed 10:30pm	39.2	8,200	4.78	36.87	24.6	4.8	4.6	1.1	0.1	2.3
Rudy Gobert C	UTAH  @  PHX	Wed 10:00pm	39.1	7,500	5.21	33.10	13.5	12.7	1.2	0.6	3.0	1.6
Nikola Jokic PF/C	DEN  @  CHA	Wed 7:00pm	38.9	8,900	4.37	28.56	16.9	9.7	5.0	0.9	0.7	2.3
Paul Millsap PF/C	DEN  @  CHA	Wed 7:00pm	38.9	6,700	5.8	37.34	19.7	8	3.9	1.5	0.6	2.7
Draymond Green PF/C	TOR  @  GS	Wed 10:30pm	38.4	7,200	5.33	33.32	11.5	7.8	7.0	2.0	1.5	2.2
Bradley Beal SG	WSH  @  LAL	Wed 10:30pm	38.2	7,300	5.23	34.34	25.7	3	3.8	1.1	0.2	2.2
Eric Bledsoe PG/SG	UTAH  @  PHX OUT	Wed 10:00pm	38.1	6,500	5.86	35.32	20.3	4.9	6.3	1.3	0.4	3.7
Dwight Howard C	DEN  @  CHA	Wed 7:00pm	37.5	7,100	5.27	33.97	15.0	12.8	1.2	0.5	1.6	2.1
Mike Conley PG	MEM  @  DAL	Wed 8:30pm	37.4	7,200	5.19	33.03	18.7	3.8	6.8	1.8	0.1	2.0
Gary Harris SG	DEN  @  CHA	Wed 7:00pm	37.1	5,000	7.41	35.89	23.2	4	3.1	1.4	0.3	2.0
Carmelo Anthony SF/PF	IND  @  OKC	Wed 8:00pm	37.0	7,100	5.21	34.94	22.7	5.8	3.0	0.8	0.5	2.5
Jeff Teague PG	MIN  @  DET	Wed 7:00pm	36.8	6,200	5.94	33.62	15.2	4.4	8.8	1.6	0.3	2.8
D'Angelo Russell PG	CLE  @  BKN	Wed 7:30pm	36.1	7,800	4.63	34.83	17.5	4.7	5.7	1.9	0.4	3.1
Ricky Rubio PG	UTAH  @  PHX	Wed 10:00pm	35.9	6,800	5.28	34.31	12.4	4.8	9.2	2.3	0.1	2.9
Brook Lopez C	WSH  @  LAL	Wed 10:30pm	35.4	6,000	5.9	30.66	20.3	5.9	2.6	0.5	1.7	2.3
Marc Gasol C	MEM  @  DAL	Wed 8:30pm	35.2	7,800	4.52	35.46	17.3	6.9	4.3	0.5	1.3	2.4
Goran Dragic PG	SA  @  MIA	Wed 8:00pm	34.4	6,300	5.46	35.29	19.2	3.6	5.9	1.1	0.2	2.7
Rudy Gay SF/PF	SA  @  MIA	Wed 8:00pm	33.8	4,900	6.89	34.00	17.7	6.2	2.8	1.6	0.8	2.4
Myles Turner C	IND  @  OKC OUT	Wed 8:00pm	32.0	7,900	4.05	31.31	13.6	7.8	1.3	0.8	2.7	1.4
Serge Ibaka PF/C	TOR  @  GS	Wed 10:30pm	32.0	5,400	5.92	33.98	15.0	8.2	1.3	0.7	1.9	1.6
Devin Booker SG/SF	UTAH  @  PHX	Wed 10:00pm	31.9	6,900	4.62	35.13	20.6	3.4	3.6	0.9	0.3	3.1
Klay Thompson SG	TOR  @  GS	Wed 10:30pm	31.8	6,600	4.82	34.08	20.9	3.6	2.1	0.7	0.5	1.4
Dirk Nowitzki PF/C	MEM  @  DAL	Wed 8:30pm	31.7	4,600	6.89	31.63	16.9	7.7	1.1	0.6	1.3	1.4
LaMarcus Aldridge PF/C	SA  @  MIA	Wed 8:00pm	31.2	8,400	3.71	33.40	16.8	7.4	1.5	0.6	1.1	1.3
Dwyane Wade PG/SG	CLE  @  BKN	Wed 7:30pm	31.0	5,200	5.97	30.70	17.1	2.9	4.3	1.9	0.3	2.5
Andrew Wiggins SF/PF	MIN  @  DET	Wed 7:00pm	30.8	7,200	4.28	35.97	20.4	4	2.3	0.9	0.4	2.3
Julius Randle PF/C	WSH  @  LAL	Wed 10:30pm	30.6	4,800	6.36	28.06	13.2	8.2	3.7	0.7	0.6	2.3
