player	matchup	datetime	fp	cost	value	min	pts	reb	ast	stl	blk	to
Nerlens Noel C	MEM  @  DAL	Wed 8:30pm	30.1	4,800	6.27	30.22	12.1	8.3	1.3	1.6	1.5	1.3
Pau Gasol PF/C	SA  @  MIA	Wed 8:00pm	29.8	5,000	5.97	28.97	12.6	8.3	2.5	0.3	1.4	1.3
Dion Waiters SG/SF	SA  @  MIA	Wed 8:00pm	29.6	5,100	5.81	34.50	16.6	3.9	3.9	1.0	0.3	2.2
Clint Capela C	HOU  @  PHI	Wed 7:00pm	29.6	6,200	4.77	25.21	13.0	8.7	1.2	0.6	1.7	1.4
Marcin Gortat C	WSH  @  LAL	Wed 10:30pm	29.3	5,500	5.32	30.54	10.4	10.6	1.2	0.4	1.1	1.4
Harrison Barnes SF/PF	MEM  @  DAL	Wed 8:30pm	29.0	5,200	5.58	35.73	19.1	4.5	1.4	0.9	0.3	1.4
Derrick Favors PF/C	UTAH  @  PHX	Wed 10:00pm	28.9	5,000	5.78	25.86	12.8	7.7	1.4	1.2	1.1	1.1
Dario Saric PF/C	HOU  @  PHI	Wed 7:00pm	28.7	5,000	5.74	27.74	13.8	7.2	2.3	0.9	0.7	2.5
Robert Covington SF/PF	HOU  @  PHI	Wed 7:00pm	28.6	5,700	5.01	30.95	13.1	6.4	1.9	1.7	0.8	2.2
Avery Bradley PG/SG	MIN  @  DET	Wed 7:00pm	28.4	5,000	5.69	35.34	15.4	4.3	3.2	1.2	0.2	1.6
Tobias Harris SF/PF	MIN  @  DET	Wed 7:00pm	28.1	6,200	4.53	31.72	16.9	5	1.8	0.6	0.4	1.0
Justise Winslow SF/PF	SA  @  MIA	Wed 8:00pm	28.0	4,000	6.99	35.27	13.4	4.4	4.1	1.3	0.2	2.0
Wilson Chandler SF/PF	DEN  @  CHA	Wed 7:00pm	27.9	5,000	5.59	30.91	15.0	6.3	2.0	0.6	0.5	1.7
James Johnson PF	SA  @  MIA	Wed 8:00pm	27.6	6,100	4.52	27.74	12.6	4.8	3.7	0.9	1.1	2.3
Reggie Jackson PG	MIN  @  DET	Wed 7:00pm	27.4	6,000	4.57	28.57	13.9	3.2	5.1	1.0	0.1	1.9
Jordan Clarkson PG/SG	WSH  @  LAL	Wed 10:30pm	27.3	4,900	5.58	31.23	16.6	3.1	3.0	1.1	0.1	2.1
Otto Porter SF/PF	WSH  @  LAL	Wed 10:30pm	27.3	5,900	4.63	31.18	13.3	5.9	1.3	1.7	0.3	0.7
Jerryd Bayless PG/SG	HOU  @  PHI	Wed 7:00pm	26.9	4,000	6.73	29.72	13.7	3.4	4.6	1.0	0.3	2.5
Eric Gordon SG	HOU  @  PHI	Wed 7:00pm	26.9	6,000	4.48	30.53	16.1	3.1	2.6	0.6	0.5	1.5
Kentavious Caldwell-Pope SG	WSH  @  LAL	Wed 10:30pm	26.9	4,700	5.72	31.88	15.3	3.9	2.5	1.1	0.3	1.6
Tristan Thompson PF/C	CLE  @  BKN GTD	Wed 7:30pm	26.4	4,000	6.61	28.53	9.3	9.9	0.7	0.4	1.7	1.0
Jae Crowder SF/PF	CLE  @  BKN	Wed 7:30pm	26.3	4,900	5.36	28.98	13.5	4.9	2.0	1.2	0.4	1.1
Marvin Williams SF/PF	DEN  @  CHA	Wed 7:00pm	25.7	3,800	6.75	29.72	12.0	6.4	1.2	0.9	0.8	0.7
DeMarre Carroll SF/PF	CLE  @  BKN	Wed 7:30pm	25.4	5,200	4.88	29.38	13.5	4.8	1.2	1.3	0.5	1.0
Steven Adams C	IND  @  OKC	Wed 8:00pm	25.2	5,800	4.35	29.91	11.0	7.9	1.0	1.0	0.9	1.9
Trevor Booker PF/C	CLE  @  BKN	Wed 7:30pm	25.2	5,900	4.27	24.40	10.3	7.5	2.1	1.3	0.3	2.0
Cody Zeller C	DEN  @  CHA OUT	Wed 7:00pm	24.7	4,000	6.17	26.31	10.2	6.3	1.6	1.1	1.2	0.9
Will Barton SG/SF	DEN  @  CHA	Wed 7:00pm	24.6	5,600	4.4	28.83	11.5	4.7	3.2	1.0	0.3	1.6
Tyler Johnson PG/SG	SA  @  MIA	Wed 8:00pm	24.2	4,300	5.63	29.27	12.0	3.9	2.9	0.8	0.7	1.2
Wesley Matthews SG/SF	MEM  @  DAL	Wed 8:30pm	24.1	4,800	5.02	34.19	12.8	3.5	2.6	1.1	0.3	1.5
Rondae Hollis-Jefferson SF/PF	CLE  @  BKN	Wed 7:30pm	24.1	5,000	4.81	23.05	10.1	6.4	2.0	1.2	0.6	1.6
Nick Young SG	TOR  @  GS	Wed 10:30pm	24.0	3,700	6.48	32.28	14.4	3.5	1.8	0.6	0.3	1.1
Victor Oladipo PG/SG	IND  @  OKC	Wed 8:00pm	23.9	7,200	3.31	31.26	12.9	3.6	2.6	1.2	0.2	1.9
Michael Kidd-Gilchrist SF	DEN  @  CHA OUT	Wed 7:00pm	23.7	4,500	5.26	29.59	9.1	6.9	1.3	0.9	1.2	0.7
Jonas Valanciunas C	TOR  @  GS OUT	Wed 10:30pm	23.5	5,000	4.71	28.09	9.3	8.9	1.0	0.3	0.8	1.2
Thaddeus Young SF/PF	IND  @  OKC	Wed 8:00pm	23.4	5,600	4.18	30.00	10.4	5.9	1.6	1.5	0.3	1.3
J.J. Redick SG/SF	HOU  @  PHI	Wed 7:00pm	23.4	4,400	5.31	28.38	15.2	3.1	1.5	0.7	0.2	1.7
Tyreke Evans SG/SF	MEM  @  DAL	Wed 8:30pm	23.3	4,300	5.41	25.33	11.7	2.9	3.8	1.0	0.1	1.9
Jose Juan Barea PG/SG	MEM  @  DAL	Wed 8:30pm	23.2	4,700	4.93	27.38	12.1	2.6	4.4	0.6	0.1	1.8
Donovan Mitchell PG/SG	UTAH  @  PHX	Wed 10:00pm	22.9	3,800	6.02	27.57	11.2	5.3	1.9	0.8	0.4	1.5
Markelle Fultz PG/SG	HOU  @  PHI	Wed 7:00pm	22.9	4,400	5.2	25.12	11.6	5.1	1.8	0.8	0.3	1.1
Ben Simmons PG/SF	HOU  @  PHI	Wed 7:00pm	22.9	8,800	2.6	25.12	11.6	5.1	1.8	0.8	0.3	1.1
Frank Kaminsky PF/C	DEN  @  CHA	Wed 7:00pm	22.8	5,000	4.56	27.24	12.3	4.4	2.1	0.5	0.4	1.2
Darren Collison PG	IND  @  OKC	Wed 8:00pm	22.8	5,900	3.86	25.60	11.6	2.5	4.0	1.0	0.1	1.9
Sean Kilpatrick PG/SG	CLE  @  BKN OUT	Wed 7:30pm	22.6	4,000	5.65	26.39	13.4	3.6	2.4	0.6	0.1	2.2
Lonzo Ball PG	WSH  @  LAL	Wed 10:30pm	22.6	7,000	3.23	26.97	11.7	4.4	1.6	0.9	0.6	1.4
Tim Frazier PG	WSH  @  LAL	Wed 10:30pm	22.5	3,700	6.09	24.70	7.9	2.5	6.2	1.3	0.1	2.0
T.J. Warren SF/PF	UTAH  @  PHX	Wed 10:00pm	22.4	4,500	4.97	29.08	12.4	4.6	1.1	0.9	0.4	0.9
Ishmael Smith PG	MIN  @  DET	Wed 7:00pm	22.3	3,800	5.88	23.68	8.9	2.7	5.2	0.9	0.5	1.4
Thabo Sefolosha SG/SF	UTAH  @  PHX	Wed 10:00pm	22.3	3,500	6.37	27.43	8.7	5	1.9	2.0	0.5	1.5
Ryan Anderson PF/C	HOU  @  PHI	Wed 7:00pm	21.9	4,200	5.2	30.40	12.2	4.4	1.3	0.5	0.3	1.0
Jeremy Lamb SG/SF	DEN  @  CHA	Wed 7:00pm	21.9	5,600	3.9	20.46	11.5	5.2	1.2	0.6	0.4	0.7
Yogi Ferrell PG/SG	MEM  @  DAL	Wed 8:30pm	21.8	4,500	4.85	27.62	10.6	2.5	4.1	1.0	0.1	1.5
Jamal Crawford SG	MIN  @  DET	Wed 7:00pm	21.8	3,900	5.59	27.89	13.8	2.2	2.4	0.7	0.2	2.1
P.J. Tucker SF/PF	HOU  @  PHI	Wed 7:00pm	21.7	4,400	4.93	28.53	8.4	5.5	1.6	1.5	0.4	0.9
Taj Gibson PF/C	MIN  @  DET	Wed 7:00pm	21.7	4,300	5.03	26.58	10.4	6.2	0.8	0.5	0.9	1.2
Allen Crabbe SG/SF	CLE  @  BKN	Wed 7:30pm	21.5	4,900	4.38	29.40	11.6	3.5	1.7	0.9	0.1	1.0
Emmanuel Mudiay PG	DEN  @  CHA	Wed 7:00pm	21.4	3,900	5.49	23.40	9.8	3.1	3.7	0.9	0.4	1.9
Jon Leuer PF/C	MIN  @  DET	Wed 7:00pm	21.3	3,400	6.26	25.82	10.5	5.6	1.6	0.4	0.3	0.8
Rodney Hood SG/SF	UTAH  @  PHX OUT	Wed 10:00pm	21.2	5,100	4.15	27.01	11.5	3.5	1.9	0.8	0.4	1.3
Luol Deng SF/PF	WSH  @  LAL	Wed 10:30pm	21.2	3,100	6.82	29.28	9.6	5	1.8	0.8	0.4	1.2
Dillon Brooks SG/SF	MEM  @  DAL	Wed 8:30pm	20.7	4,500	4.61	28.06	9.7	4.5	2.1	0.6	0.5	1.3
Larry Nance Jr. SF/PF	WSH  @  LAL	Wed 10:30pm	20.6	4,800	4.3	22.68	7.1	5.9	1.7	1.4	0.6	0.9
Brandan Wright PF/C	MEM  @  DAL	Wed 8:30pm	20.6	3,500	5.89	22.02	9.5	5.9	0.6	0.6	1.1	1.1
Alex Len PF/C	UTAH  @  PHX	Wed 10:00pm	20.5	4,000	5.13	24.18	8.7	7	0.3	0.5	1.2	1.6
J.R. Smith SG/SF	CLE  @  BKN GTD	Wed 7:30pm	20.4	4,000	5.09	27.39	10.2	3.3	1.9	1.2	0.3	1.0
Cory Joseph PG	IND  @  OKC	Wed 8:00pm	20.4	3,800	5.36	25.33	10.0	2.6	3.5	0.9	0.1	1.5
Andre Iguodala SG/SF	TOR  @  GS	Wed 10:30pm	20.3	3,900	5.21	26.20	7.7	3.9	3.4	0.9	0.5	1.0
Brandon Ingram SG/SF	WSH  @  LAL	Wed 10:30pm	20.3	5,200	3.91	29.01	10.2	4.1	2.1	0.7	0.4	1.5
Wayne Ellington SG/SF	SA  @  MIA	Wed 8:00pm	20.2	3,500	5.77	11.26	12.0	2.8	1.2	0.8	0.2	1.0
Ivica Zubac C	WSH  @  LAL	Wed 10:30pm	20.2	3,800	5.31	19.97	9.5	5.3	0.9	0.4	1.2	1.1
Joe Johnson SG/SF	UTAH  @  PHX	Wed 10:00pm	20.0	3,700	5.41	24.84	11.2	3.3	1.8	0.5	0.3	1.0
Kelly Olynyk PF/C	SA  @  MIA	Wed 8:00pm	20.0	5,600	3.56	22.33	9.3	5.4	1.3	0.6	0.6	1.5
Amir Johnson PF/C	HOU  @  PHI	Wed 7:00pm	19.8	3,300	6.01	21.14	7.5	6.3	1.3	0.7	0.8	1.3
Andrew Bogut C	WSH  @  LAL	Wed 10:30pm	19.8	3,000	6.59	23.22	6.7	6.5	1.1	0.5	1.5	1.4
Bojan Bogdanovic SG/SF	IND  @  OKC	Wed 8:00pm	19.3	4,000	4.82	23.58	11.5	3.9	1.2	0.4	0.1	1.4
Josh Richardson SG/SF	SA  @  MIA	Wed 8:00pm	18.9	5,400	3.5	27.92	8.7	3.4	2.5	0.9	0.3	1.2
Timofey Mozgov C	CLE  @  BKN	Wed 7:30pm	18.9	3,300	5.72	19.79	7.4	6.3	0.8	0.4	1.1	1.2
Marquese Chriss PF/C	UTAH  @  PHX	Wed 10:00pm	18.7	4,100	4.57	22.80	9.4	3.9	0.9	0.9	0.7	1.3
Norman Powell SG/SF	TOR  @  GS	Wed 10:30pm	18.6	4,600	4.04	24.33	10.2	2.8	1.9	0.7	0.2	1.1
Andre Roberson SG/SF	IND  @  OKC	Wed 8:00pm	18.5	3,700	5	29.57	6.3	4.8	1.1	1.2	1.1	0.6
Patrick Mills PG	SA  @  MIA	Wed 8:00pm	18.4	3,500	5.26	22.80	9.7	1.8	3.1	0.7	0.1	1.4
Joe Ingles SG/SF	UTAH  @  PHX	Wed 10:00pm	17.7	5,300	3.34	23.36	6.5	3.1	2.8	1.3	0.2	1.2
Alan Williams C	UTAH  @  PHX GTD	Wed 10:00pm	17.6	3,400	5.18	17.43	7.5	5.6	0.6	0.6	0.7	0.8
Lance Stephenson SG/SF	IND  @  OKC	Wed 8:00pm	17.6	4,300	4.09	22.52	8.5	2.5	3.5	0.4	0.1	1.6
Dennis Smith PG	MEM  @  DAL	Wed 8:30pm	17.5	N/A	N/A	24.01	8.7	3.9	1.3	0.7	0.3	1.2
Tyler Ulis PG	UTAH  @  PHX	Wed 10:00pm	17.4	4,000	4.36	21.90	8.2	2.3	3.4	0.6	0.1	1.4
Danny Green SG/SF	SA  @  MIA	Wed 8:00pm	17.4	4,900	3.55	26.07	6.9	3.4	1.8	0.8	0.8	0.9
Josh Jackson SG/SF	UTAH  @  PHX	Wed 10:00pm	17.4	4,100	4.24	24.97	9.2	3.4	1.2	0.8	0.3	1.0
Mason Plumlee PF/C	DEN  @  CHA	Wed 7:00pm	17.4	3,300	5.27	15.78	6.5	5.2	1.8	0.5	0.6	1.1
Jamal Murray PG/SG	DEN  @  CHA	Wed 7:00pm	17.1	4,500	3.81	19.69	9.0	2.5	2.0	0.7	0.3	1.3
Jahlil Okafor C	HOU  @  PHI	Wed 7:00pm	17.1	4,000	4.27	6.80	8.4	4.7	0.9	0.3	0.8	1.5
Ian Mahinmi C	WSH  @  LAL	Wed 10:30pm	17.0	4,000	4.26	19.11	5.7	5.1	1.1	0.8	1.1	1.1
Quincy Acy PF/C	CLE  @  BKN	Wed 7:30pm	16.8	3,000	5.61	17.11	7.8	4.1	1.1	0.5	0.6	0.8
Jeff Green SF/PF	CLE  @  BKN	Wed 7:30pm	16.8	3,000	5.58	23.97	9.2	2.8	1.2	0.8	0.2	1.0
Stanley Johnson SG/SF	MIN  @  DET	Wed 7:00pm	16.7	3,800	4.4	25.80	6.8	2.9	2.9	0.9	0.3	1.3
Caris LeVert PG/SF	CLE  @  BKN	Wed 7:30pm	16.7	5,100	3.27	22.59	7.9	2.8	2.3	0.9	0.1	1.4
Zaza Pachulia C	TOR  @  GS	Wed 10:30pm	16.7	3,400	4.9	15.57	6.0	5.3	1.6	0.7	0.4	1.1
Luc Mbah a Moute SF/PF	HOU  @  PHI	Wed 7:00pm	16.7	3,700	4.5	22.62	7.9	3	0.9	1.3	0.4	0.8
Delon Wright PG/SG	TOR  @  GS	Wed 10:30pm	16.4	3,900	4.21	20.23	7.0	2.9	2.4	0.9	0.2	1.0
Tyson Chandler C	UTAH  @  PHX	Wed 10:00pm	16.2	4,000	4.04	20.21	6.4	5.1	0.5	0.4	1.2	1.1
Al Jefferson PF/C	IND  @  OKC	Wed 8:00pm	16.2	3,900	4.14	12.26	8.1	4.6	1.0	0.3	0.2	0.5
T.J. McConnell PG	HOU  @  PHI	Wed 7:00pm	16.1	3,000	5.37	17.72	5.1	2	4.3	1.1	0.2	1.3
C.J. Miles SG/SF	TOR  @  GS	Wed 10:30pm	16.0	3,900	4.11	25.23	9.3	2.3	0.9	0.8	0.2	1.0
Alec Burks PG/SG	UTAH  @  PHX	Wed 10:00pm	15.9	3,400	4.66	19.58	8.6	2.8	1.4	0.5	0.3	0.9
James Ennis SG/SF	MEM  @  DAL	Wed 8:30pm	15.4	4,000	3.84	22.70	6.3	4.5	1.1	0.6	0.3	0.8
Jason Smith PF/C	WSH  @  LAL OUT	Wed 10:30pm	15.2	4,000	3.79	14.13	5.8	4.3	0.4	0.3	1.5	0.6
Devin Harris PG/SG	MEM  @  DAL OUT	Wed 8:30pm	15.2	3,000	5.05	18.14	7.3	2	2.4	0.9	0.1	1.1
Patrick Patterson PF/C	IND  @  OKC	Wed 8:00pm	15.0	3,100	4.85	23.33	6.1	4.1	1.1	0.6	0.3	0.5
Nemanja Bjelica SF/PF	MIN  @  DET	Wed 7:00pm	14.9	3,100	4.8	17.97	6.1	3.7	1.5	0.6	0.4	1.0
Manu Ginobili SG/SF	SA  @  MIA	Wed 8:00pm	14.6	3,600	4.05	16.84	6.0	2.1	2.4	1.0	0.3	1.5
Raymond Felton PG/SG	IND  @  OKC	Wed 8:00pm	14.6	3,000	4.85	19.68	5.9	2.4	2.1	1.1	0.2	0.9
Iman Shumpert PG/SG	CLE  @  BKN	Wed 7:30pm	14.5	3,900	3.71	23.42	6.5	2.8	1.4	0.8	0.3	0.9
Tyus Jones PG/SG	MIN  @  DET	Wed 7:00pm	14.4	3,000	4.79	16.85	5.1	1.9	3.3	1.0	0.1	1.3
Domantas Sabonis PF/C	IND  @  OKC	Wed 8:00pm	14.2	5,000	2.84	19.98	6.8	3.6	1.1	0.4	0.3	0.8
David West PF/C	TOR  @  GS	Wed 10:30pm	14.2	3,000	4.73	9.41	4.7	3.1	2.4	0.5	0.7	0.9
Shabazz Muhammad SG/SF	MIN  @  DET	Wed 7:00pm	13.9	3,000	4.62	18.00	9.5	2.4	0.4	0.3	0.1	0.7
Kelly Oubre SG/SF	WSH  @  LAL	Wed 10:30pm	13.7	4,200	3.27	18.79	6.5	3.1	0.8	0.7	0.3	0.5
Tyler Ennis PG/SG	WSH  @  LAL	Wed 10:30pm	13.5	3,000	4.5	16.97	6.3	1.4	2.7	0.9	0.1	1.5
Jeff Withey C	MEM  @  DAL	Wed 8:30pm	13.5	3,000	4.49	4.66	5.2	4.3	0.4	0.2	1.1	0.6
Josh McRoberts PF/C	MEM  @  DAL OUT	Wed 8:30pm	13.3	3,000	4.42	19.94	5.9	2.6	1.7	0.6	0.3	1.1
Jakob Poeltl PF/C	TOR  @  GS	Wed 10:30pm	13.0	4,500	2.89	14.77	4.3	5	0.6	0.3	0.7	0.9
Andrew Harrison PG/SG	MEM  @  DAL	Wed 8:30pm	13.0	3,400	3.82	19.34	5.4	1.8	2.5	0.6	0.3	1.0
Joffrey Lauvergne PF/C	SA  @  MIA GTD	Wed 8:00pm	12.9	3,000	4.31	14.29	6.4	3.5	0.7	0.4	0.3	0.8
Dragan Bender PF/C	UTAH  @  PHX	Wed 10:00pm	12.9	3,000	4.31	16.19	4.1	4.5	0.8	0.4	0.8	0.8
Gorgui Dieng PF/C	MIN  @  DET	Wed 7:00pm	12.5	3,600	3.48	15.42	4.6	3.9	0.9	0.5	0.5	0.7
Dwight Powell PF/C	MEM  @  DAL	Wed 8:30pm	12.5	3,100	4.02	13.89	5.8	3.4	0.5	0.5	0.4	0.4
Isaiah Whitehead PG/SG	CLE  @  BKN	Wed 7:30pm	12.4	3,000	4.14	8.01	4.8	1.5	3.0	0.6	0.2	1.4
Dwayne Bacon SG/SF	DEN  @  CHA	Wed 7:00pm	12.3	3,400	3.61	12.22	6.0	2.9	0.9	0.5	0.2	0.9
Malik Monk PG/SG	DEN  @  CHA	Wed 7:00pm	12.3	3,300	3.72	12.22	6.0	2.9	0.9	0.5	0.2	0.9
JaVale McGee C	TOR  @  GS	Wed 10:30pm	12.3	3,000	4.08	4.54	5.8	3.2	0.2	0.2	1.0	0.5
Jerami Grant SF/PF	IND  @  OKC	Wed 8:00pm	12.2	3,100	3.94	17.02	5.5	2.8	0.6	0.3	0.9	0.7
Deyonta Davis PF/C	MEM  @  DAL	Wed 8:30pm	12.1	3,000	4.02	4.68	4.0	3.8	0.4	0.3	1.2	0.6
Chinanu Onuaku PF/C	HOU  @  PHI	Wed 7:00pm	12.0	3,000	3.98	3.22	4.4	3.6	0.5	0.5	0.8	0.7
Spencer Dinwiddie PG/SG	CLE  @  BKN	Wed 7:30pm	11.9	4,200	2.82	4.99	5.4	2	1.6	0.6	0.2	0.9
Bryn Forbes PG/SG	SA  @  MIA	Wed 8:00pm	11.9	3,000	3.95	5.75	6.8	1.8	1.3	0.3	0.0	0.6
Shaun Livingston PG/SG	TOR  @  GS	Wed 10:30pm	11.8	3,600	3.28	15.07	5.2	2	2.0	0.5	0.3	1.0
Raul Neto PG	UTAH  @  PHX	Wed 10:00pm	11.8	3,000	3.92	5.24	4.6	2	2.0	0.8	0.1	0.8
Timothe Luwawu SG/SF	HOU  @  PHI	Wed 7:00pm	11.7	3,200	3.66	4.52	6.6	1.8	1.0	0.5	0.2	1.0
Mike Scott PF	WSH  @  LAL	Wed 10:30pm	11.3	3,000	3.78	13.27	4.3	3.5	1.0	0.4	0.3	0.6
Kyle Korver SG/SF	CLE  @  BKN	Wed 7:30pm	11.3	3,300	3.42	14.23	5.8	2	1.1	0.3	0.2	0.6
Kyle Kuzma SF/PF	WSH  @  LAL	Wed 10:30pm	11.2	4,700	2.38	10.15	5.4	2.5	0.9	0.5	0.2	0.8
James Michael McAdoo PF	HOU  @  PHI	Wed 7:00pm	11.1	3,000	3.7	0.12	4.5	3.4	0.4	0.4	0.6	0.6
Dorian Finney-Smith SF	MEM  @  DAL	Wed 8:30pm	11.1	3,000	3.69	18.70	4.5	2.5	0.9	0.7	0.3	0.5
Dejounte Murray PG	SA  @  MIA	Wed 8:00pm	11.0	5,800	1.89	11.72	5.8	1.5	1.9	0.3	0.1	1.3
Troy Williams SG	HOU  @  PHI	Wed 7:00pm	10.8	3,000	3.59	3.94	5.1	1.7	1.0	0.8	0.2	0.6
Zhou Qi PF/C	HOU  @  PHI	Wed 7:00pm	10.6	3,000	3.53	0.13	4.6	2.8	1.0	0.4	0.2	0.7
Jodie Meeks SG	WSH  @  LAL	Wed 10:30pm	10.6	3,300	3.2	12.58	5.5	1.7	1.0	0.6	0.1	0.5
Furkan Korkmaz SG/SF	HOU  @  PHI	Wed 7:00pm	10.5	3,000	3.49	0.12	5.7	1.9	0.8	0.4	0.1	0.5
Jarell Martin PF/C	MEM  @  DAL	Wed 8:30pm	10.1	3,900	2.59	14.65	3.9	3.8	0.4	0.2	0.4	0.7
