"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"PG/SF","Giannis Antetokounmpo",12300,"MIL@ATL 10/29/2017 03:30PM ET",62.850,"MIL"
"PF/C","LaMarcus Aldridge",8300,"SA@IND 10/29/2017 04:30PM ET",45.100,"SA"
"SF/PF","Kawhi Leonard",8000,"SA@IND 10/29/2017 04:30PM ET",0,"SA"
"C","Myles Turner",7500,"SA@IND 10/29/2017 04:30PM ET",51.000,"IND"
"PG/SG","Victor Oladipo",7300,"SA@IND 10/29/2017 04:30PM ET",41.850,"IND"
"PG","Dennis Schroder",7200,"MIL@ATL 10/29/2017 03:30PM ET",38.500,"ATL"
"SG/SF","Khris Middleton",6000,"MIL@ATL 10/29/2017 03:30PM ET",28.600,"MIL"
"SG/SF","Taurean Prince",5700,"MIL@ATL 10/29/2017 03:30PM ET",24.958,"ATL"
"PG/SG","Malcolm Brogdon",5600,"MIL@ATL 10/29/2017 03:30PM ET",28.500,"MIL"
"PG","Dejounte Murray",5500,"SA@IND 10/29/2017 04:30PM ET",26.800,"SA"
"SG/SF","Kent Bazemore",5400,"MIL@ATL 10/29/2017 03:30PM ET",26.292,"ATL"
"PG","Darren Collison",5200,"SA@IND 10/29/2017 04:30PM ET",35.950,"IND"
"SF/PF","Rudy Gay",5200,"SA@IND 10/29/2017 04:30PM ET",25.050,"SA"
"SG/SF","Danny Green",5100,"SA@IND 10/29/2017 04:30PM ET",25.650,"SA"
"PF/C","Pau Gasol",5100,"SA@IND 10/29/2017 04:30PM ET",25.150,"SA"
"SF/PF","Jabari Parker",5000,"MIL@ATL 10/29/2017 03:30PM ET",0,"MIL"
"PF/C","Domantas Sabonis",5000,"SA@IND 10/29/2017 04:30PM ET",27.550,"IND"
"PF/C","John Collins",4900,"MIL@ATL 10/29/2017 03:30PM ET",23.583,"ATL"
"SF/PF","Thaddeus Young",4800,"SA@IND 10/29/2017 04:30PM ET",26.700,"IND"
"C","Dewayne Dedmon",4500,"MIL@ATL 10/29/2017 03:30PM ET",22.458,"ATL"
"SG/SF","Kyle Anderson",4500,"SA@IND 10/29/2017 04:30PM ET",21.950,"SA"
"SG","Marco Belinelli",4200,"MIL@ATL 10/29/2017 03:30PM ET",24.542,"ATL"
"PF/C","Greg Monroe",4200,"MIL@ATL 10/29/2017 03:30PM ET",13.950,"MIL"
"PG/SG","Malcolm Delaney",4000,"MIL@ATL 10/29/2017 03:30PM ET",14.458,"ATL"
"SF/PF","Ersan Ilyasova",4000,"MIL@ATL 10/29/2017 03:30PM ET",17.125,"ATL"
"SG/SF","Glenn Robinson III",3900,"SA@IND 10/29/2017 04:30PM ET",0,"IND"
"SG/SF","Tony Snell",3800,"MIL@ATL 10/29/2017 03:30PM ET",18.350,"MIL"
"SG/SF","Lance Stephenson",3800,"SA@IND 10/29/2017 04:30PM ET",13.400,"IND"
"PG/SG","Matthew Dellavedova",3700,"MIL@ATL 10/29/2017 03:30PM ET",13.800,"MIL"
"PG","Tony Parker",3700,"SA@IND 10/29/2017 04:30PM ET",0,"SA"
"C","Mike Muscala",3600,"MIL@ATL 10/29/2017 03:30PM ET",17.542,"ATL"
"SG/SF","Manu Ginobili",3600,"SA@IND 10/29/2017 04:30PM ET",16.350,"SA"
"PG","Patty Mills",3600,"SA@IND 10/29/2017 04:30PM ET",11.950,"SA"
"SG/SF","Bojan Bogdanovic",3500,"SA@IND 10/29/2017 04:30PM ET",14.450,"IND"
"PF/C","Al Jefferson",3500,"SA@IND 10/29/2017 04:30PM ET",18.000,"IND"
"PG","Cory Joseph",3500,"SA@IND 10/29/2017 04:30PM ET",20.850,"IND"
"PF/C","Thon Maker",3300,"MIL@ATL 10/29/2017 03:30PM ET",11.950,"MIL"
"C","John Henson",3100,"MIL@ATL 10/29/2017 03:30PM ET",12.450,"MIL"
"PG/SG","Jason Terry",3100,"MIL@ATL 10/29/2017 03:30PM ET",6.500,"MIL"
"SG/SF","DeAndre' Bembry",3000,"MIL@ATL 10/29/2017 03:30PM ET",20.000,"ATL"
"C","Miles Plumlee",3000,"MIL@ATL 10/29/2017 03:30PM ET",0,"ATL"
"SG/SF","Nicolas Brussino",3000,"MIL@ATL 10/29/2017 03:30PM ET",1.250,"ATL"
"PG/SG","Tyler Dorsey",3000,"MIL@ATL 10/29/2017 03:30PM ET",0.667,"ATL"
"PG","Isaiah Taylor",3000,"MIL@ATL 10/29/2017 03:30PM ET",7.250,"ATL"
"PG","Josh Magette",3000,"MIL@ATL 10/29/2017 03:30PM ET",2.813,"ATL"
"SF/PF","Luke Babbitt",3000,"MIL@ATL 10/29/2017 03:30PM ET",5.083,"ATL"
"PG/SG","Rashad Vaughn",3000,"MIL@ATL 10/29/2017 03:30PM ET",0.000,"MIL"
"PG/SG","DeAndre Liggins",3000,"MIL@ATL 10/29/2017 03:30PM ET",6.250,"MIL"
"SF/PF","D.J. Wilson",3000,"MIL@ATL 10/29/2017 03:30PM ET",0.000,"MIL"
"PF","Joel Bolomboy",3000,"MIL@ATL 10/29/2017 03:30PM ET",0,"MIL"
"SG","Sterling Brown",3000,"MIL@ATL 10/29/2017 03:30PM ET",3.500,"MIL"
"SG","Gary Payton II",3000,"MIL@ATL 10/29/2017 03:30PM ET",0.000,"MIL"
"SF/PF","Mirza Teletovic",3000,"MIL@ATL 10/29/2017 03:30PM ET",11.100,"MIL"
"PF/C","Ike Anigbogu",3000,"SA@IND 10/29/2017 04:30PM ET",0.750,"IND"
"PG/SG","Joe Young",3000,"SA@IND 10/29/2017 04:30PM ET",4.000,"IND"
"PG","Edmond Sumner",3000,"SA@IND 10/29/2017 04:30PM ET",0,"IND"
"SF/PF","TJ Leaf",3000,"SA@IND 10/29/2017 04:30PM ET",12.500,"IND"
"SG/SF","Damien Wilkins",3000,"SA@IND 10/29/2017 04:30PM ET",2.450,"IND"
"SF","Alex Poythress",3000,"SA@IND 10/29/2017 04:30PM ET",0.417,"IND"
"SF/PF","Davis Bertans",3000,"SA@IND 10/29/2017 04:30PM ET",6.125,"SA"
"SG/SF","Darrun Hilliard",3000,"SA@IND 10/29/2017 04:30PM ET",0,"SA"
"PF","Matt Costello",3000,"SA@IND 10/29/2017 04:30PM ET",0,"SA"
"PG/SG","Bryn Forbes",3000,"SA@IND 10/29/2017 04:30PM ET",4.688,"SA"
"PF/C","Joffrey Lauvergne",3000,"SA@IND 10/29/2017 04:30PM ET",13.833,"SA"
"PG/SG","Derrick White",3000,"SA@IND 10/29/2017 04:30PM ET",7.750,"SA"
"SG","Brandon Paul",3000,"SA@IND 10/29/2017 04:30PM ET",7.917,"SA"
