player	matchup	datetime	fp	cost	value	min	pts	reb	ast	stl	blk	to
Alex Abrines SG/SF	MIN  @  OKC	Sun 7:00pm	13.9	3,000	4.63	24.17	8.4	1.7	1.1	0.4	0.1	1.1
Darius Miller SF	NO  @  LAL	Sun 9:30pm	13.4	3,000	4.46	18.05	6.3	3.3	1.0	0.4	0.3	1.0
Quincy Acy PF/C	ATL  @  BKN	Sun 3:30pm	13.1	3,000	4.38	16.90	6.2	3.3	0.9	0.3	0.4	0.6
Raymond Felton PG/SG	MIN  @  OKC	Sun 7:00pm	12.7	3,000	4.24	18.35	5.6	1.9	1.8	1.0	0.1	0.9
Nemanja Bjelica SF/PF	MIN  @  OKC	Sun 7:00pm	11.5	3,200	3.58	13.90	5.0	2.8	0.9	0.5	0.3	0.7
Patrick Patterson PF/C	MIN  @  OKC	Sun 7:00pm	11.4	3,300	3.45	16.88	4.8	2.6	0.9	0.5	0.3	0.4
Tyus Jones PG/SG	MIN  @  OKC	Sun 7:00pm	10.8	3,000	3.61	14.37	3.7	1.5	2.3	0.8	0.2	1.0
Jarrett Allen PF/C	ATL  @  BKN	Sun 3:30pm	10.8	3,900	2.76	12.73	5.2	2.6	1.0	0.3	0.1	0.8
Joe Harris SG/SF	ATL  @  BKN	Sun 3:30pm	10.7	3,300	3.25	14.76	5.4	2.1	0.9	0.3	0.0	0.6
Jerami Grant SF/PF	MIN  @  OKC	Sun 7:00pm	10.7	3,000	3.56	17.23	4.3	2.5	0.5	0.4	0.9	0.7
Tony Allen SG/SF	NO  @  LAL	Sun 9:30pm	10.5	3,300	3.18	13.88	4.0	2.8	0.8	0.8	0.0	0.8
Cheick Diallo PF	NO  @  LAL	Sun 9:30pm	9.5	3,000	3.15	9.35	3.7	3.2	0.4	0.2	0.5	0.5
Andrew Bogut C	NO  @  LAL	Sun 9:30pm	8.7	3,000	2.88	9.20	2.6	3	0.4	0.2	0.8	0.6
Shabazz Muhammad SG/SF	MIN  @  OKC	Sun 7:00pm	8.6	3,000	2.87	12.75	5.5	1.8	0.3	0.2	0.1	0.6
Corey Brewer SG/SF	NO  @  LAL	Sun 9:30pm	6.9	3,300	2.09	8.56	2.8	1.2	0.8	0.4	0.2	0.4
Luke Babbitt SF/PF	ATL  @  BKN	Sun 3:30pm	5.8	3,000	1.94	9.41	2.6	1.5	0.2	0.2	0.0	0.2
Terrance Ferguson SG/SF	MIN  @  OKC	Sun 7:00pm	5.3	3,000	1.76	6.79	2.6	1.1	0.4	0.2	0.1	0.4
Aaron Brooks PG/SG	MIN  @  OKC	Sun 7:00pm	2.0	3,000	0.65	2.27	0.8	0.2	0.4	0.1	0.0	0.2
Luol Deng SF/PF	NO  @  LAL	Sun 9:30pm	1.8	3,300	0.55	2.54	0.8	0.4	0.2	0.1	0.0	0.1
Isaiah Whitehead PG/SG	ATL  @  BKN	Sun 3:30pm	1.5	3,000	0.5	1.85	0.4	0.2	0.3	0.1	0.0	0.1
Tyler Zeller C	ATL  @  BKN	Sun 3:30pm	1.5	3,000	0.5	1.58	0.7	0.4	0.1	0.0	0.1	0.1
Dakari Johnson C	MIN  @  OKC	Sun 7:00pm	1.2	3,000	0.39	1.18	0.4	0.3	0.1	0.0	0.0	0.1
Ivica Zubac C	NO  @  LAL	Sun 9:30pm	1.2	3,800	0.3	1.31	0.5	0.4	0.0	0.0	0.1	0.1
Cole Aldrich C	MIN  @  OKC	Sun 7:00pm	1.1	3,000	0.38	1.14	0.2	0.3	0.1	0.1	0.1	0.0
Marcus Georges-Hunt SG/SF	MIN  @  OKC	Sun 7:00pm	1.0	3,000	0.33	1.57	0.5	0.2	0.1	0.0	0.0	0.1
Tyler Ennis PG/SG	NO  @  LAL	Sun 9:30pm	0.9	3,200	0.27	1.53	0.5	0.1	0.2	0.0	0.0	0.1
Josh Magette PG	ATL  @  BKN	Sun 3:30pm	0.2	3,000	0.07	0.11	0.0	0	0.0	0.0	0.0	0.0
Tyler Dorsey PG/SG	ATL  @  BKN	Sun 3:30pm	0.2	3,000	0.07	0.11	0.0	0	0.0	0.0	0.0	0.0
Nick Collison PF/C	MIN  @  OKC	Sun 7:00pm	0.1	3,000	0.02	0.12	0.0	0	0.0	0.0	0.0	0.0
Kyle Singler SG/SF	MIN  @  OKC OUT	Sun 7:00pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Nicolas Brussino SG/SF	ATL  @  BKN OUT	Sun 3:30pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Miles Plumlee C	ATL  @  BKN OUT	Sun 3:30pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Sean Kilpatrick PG/SG	ATL  @  BKN	Sun 3:30pm	0.0	4,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
DeAndre Bembry SG/SF	ATL  @  BKN OUT	Sun 3:30pm	0.0	3,300	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Anthony Brown SG/SF	MIN  @  OKC OUT	Sun 7:00pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Daniel Hamilton SF	MIN  @  OKC OUT	Sun 7:00pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Josh Hart PG/SG	NO  @  LAL OUT	Sun 9:30pm	0.0	3,500	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Frank Jackson PG	NO  @  LAL OUT	Sun 9:30pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Thomas Bryant PF/C	NO  @  LAL OUT	Sun 9:30pm	0.0	3,400	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Solomon Hill SF/PF	NO  @  LAL OUT	Sun 9:30pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Kentavious Caldwell-Pope SG	NO  @  LAL OUT	Sun 9:30pm	0.0	4,400	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Justin Patton C	MIN  @  OKC OUT	Sun 7:00pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Rajon Rondo PG	NO  @  LAL OUT	Sun 9:30pm	0.0	5,400	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Omer Asik C	NO  @  LAL OUT	Sun 9:30pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
Alex Caruso PG/SG	NO  @  LAL OUT	Sun 9:30pm	0.0	3,000	0	0.00	0.0	0	0.0	0.0	0.0	0.0
