PG,SG,SF,PF,C,G,F,UTIL,,Instructions
,,,,,,,,,1. Locate the player you want to select in the list below 
,,,,,,,,,2. Copy the ID of your player (you can use the Name + ID column or the ID column) 
,,,,,,,,,3. Paste the ID into the roster position desired 
,,,,,,,,,4. You must include an ID for each player; you cannot use just the player's name 
,,,,,,,,,5. You can create up to 500 lineups per file 
 
,,,,,,,,,Position,Name + ID,Name,ID,Roster Position,Salary,GameInfo,TeamAbbrev 
,,,,,,,,,PG/SG,James Harden (9694598),James Harden,9694598,PG,11600,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PG,Russell Westbrook (9694784),Russell Westbrook,9694784,PG,11400,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,SF/PF,LeBron James (9694342),LeBron James,9694342,SF,10400,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,PG,John Wall (9694041),John Wall,9694041,PG,10200,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,SF/PF,Kevin Durant (9694225),Kevin Durant,9694225,SF,9500,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,PF/C,Nikola Jokic (9694474),Nikola Jokic,9694474,PF,8900,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,PG/SF,Ben Simmons (9694658),Ben Simmons,9694658,PG,8800,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,PG/SG,Stephen Curry (9694229),Stephen Curry,9694229,PG,8700,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,C,Karl-Anthony Towns (9693925),Karl-Anthony Towns,9693925,C,8600,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,PF/C,LaMarcus Aldridge (9695035),LaMarcus Aldridge,9695035,PF,8400,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,SG/SF,DeMar DeRozan (9694285),DeMar DeRozan,9694285,SG,8200,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,SF/PF,Kawhi Leonard (9695039),Kawhi Leonard,9695039,SF,8100,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,PG/SG,Chris Paul (9694602),Chris Paul,9694602,PG,8000,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PF/C,Joel Embiid (9694654),Joel Embiid,9694654,PF,8000,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,SF,Paul George (9694787),Paul George,9694787,SF,8000,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,C,Andre Drummond (9693868),Andre Drummond,9693868,C,7900,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,C,Myles Turner (9694722),Myles Turner,9694722,C,7900,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,C,Hassan Whiteside (9694971),Hassan Whiteside,9694971,C,7900,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,PG,D'Angelo Russell (9694410),D'Angelo Russell,9694410,PG,7800,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,C,Marc Gasol (9694905),Marc Gasol,9694905,C,7800,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,PG,Kyle Lowry (9694290),Kyle Lowry,9694290,PG,7700,TOR@GS 10/25/2017 10:30PM ET,TOR,
,,,,,,,,,PG,Kemba Walker (9694538),Kemba Walker,9694538,PG,7700,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,PF/C,Kevin Love (9694346),Kevin Love,9694346,PF,7600,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,C,Rudy Gobert (9694159),Rudy Gobert,9694159,C,7500,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,SG,Bradley Beal (9694044),Bradley Beal,9694044,SG,7300,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,SF/PF,Andrew Wiggins (9693930),Andrew Wiggins,9693930,SF,7200,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,PF/C,Draymond Green (9694233),Draymond Green,9694233,PF,7200,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,PG/SG,Victor Oladipo (9694724),Victor Oladipo,9694724,PG,7200,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,PG,Mike Conley (9694907),Mike Conley,9694907,PG,7200,MEM@DAL 10/25/2017 08:30PM ET,MEM,
,,,,,,,,,C,Dwight Howard (9694541),Dwight Howard,9694541,C,7100,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,SF/PF,Carmelo Anthony (9694790),Carmelo Anthony,9694790,SF,7100,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,SG,Jimmy Butler (9693927),Jimmy Butler,9693927,SG,7000,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,PG,Lonzo Ball (9693979),Lonzo Ball,9693979,PG,7000,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,SG/SF,Devin Booker (9694103),Devin Booker,9694103,SG,6900,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PG,Ricky Rubio (9694161),Ricky Rubio,9694161,PG,6800,UTA@PHO 10/25/2017 10:00PM ET,UTA,
,,,,,,,,,PF/C,Paul Millsap (9694478),Paul Millsap,9694478,PF,6700,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,SG,Klay Thompson (9694237),Klay Thompson,9694237,SG,6600,TOR@GS 10/25/2017 10:30PM ET,GS,
,,,,,,,,,PG,Isaiah Thomas (9694350),Isaiah Thomas,9694350,PG,6600,CLE@BKN 10/25/2017 07:30PM ET,CLE,
,,,,,,,,,PG/SG,Eric Bledsoe (9694099),Eric Bledsoe,9694099,PG,6500,UTA@PHO 10/25/2017 10:00PM ET,PHO,
,,,,,,,,,PG,Goran Dragic (9694973),Goran Dragic,9694973,PG,6300,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,SF/PF,Tobias Harris (9693870),Tobias Harris,9693870,SF,6200,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,PG,Jeff Teague (9693934),Jeff Teague,9693934,PG,6200,MIN@DET 10/25/2017 07:00PM ET,MIN,
,,,,,,,,,C,Clint Capela (9694606),Clint Capela,9694606,C,6200,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PF,James Johnson (9694976),James Johnson,9694976,PF,6100,SA@MIA 10/25/2017 08:00PM ET,MIA,
,,,,,,,,,PG,Reggie Jackson (9693874),Reggie Jackson,9693874,PG,6000,MIN@DET 10/25/2017 07:00PM ET,DET,
,,,,,,,,,C,Brook Lopez (9693982),Brook Lopez,9693982,C,6000,WAS@LAL 10/25/2017 10:30PM ET,LAL,
,,,,,,,,,SG,Eric Gordon (9694608),Eric Gordon,9694608,SG,6000,HOU@PHI 10/25/2017 07:00PM ET,HOU,
,,,,,,,,,PG/SG,Dennis Smith Jr. (9694845),Dennis Smith,9694845,PG,6000,MEM@DAL 10/25/2017 08:30PM ET,DAL,
,,,,,,,,,SF/PF,Otto Porter (9694047),Otto Porter,9694047,SF,5900,WAS@LAL 10/25/2017 10:30PM ET,WAS,
,,,,,,,,,PF/C,Trevor Booker (9694413),Trevor Booker,9694413,PF,5900,CLE@BKN 10/25/2017 07:30PM ET,BKN,
,,,,,,,,,PG,Darren Collison (9694728),Darren Collison,9694728,PG,5900,IND@OKC 10/25/2017 08:00PM ET,IND,
,,,,,,,,,C,Steven Adams (9694794),Steven Adams,9694794,C,5800,IND@OKC 10/25/2017 08:00PM ET,OKC,
,,,,,,,,,PG,Dejounte Murray (9695051),Dejounte Murray,9695051,PG,5800,SA@MIA 10/25/2017 08:00PM ET,SA,
,,,,,,,,,SF/PF,Robert Covington (9694663),Robert Covington,9694663,SF,5700,HOU@PHI 10/25/2017 07:00PM ET,PHI,
,,,,,,,,,SG/SF,Will Barton (9694482),Will Barton,9694482,SG,5600,DEN@CHA 10/25/2017 07:00PM ET,DEN,
,,,,,,,,,SG/SF,Jeremy Lamb (9694543),Jeremy Lamb,9694543,SG,5600,DEN@CHA 10/25/2017 07:00PM ET,CHA,
,,,,,,,,,SF/PF,Thaddeus Young (9694731),Thaddeus Young,9694731,SF,5600,IND@OKC 10/25/2017 08:00PM ET,IND,
